Cuentas;Description;Estructura;NIVEL ;Naturaleza
12010000000;INVERSIONES AL VALOR RAZONABLE CON CAMBIOS EN RESULTADOS;Activo;Nivel 3;Deudora
12010100000;TITULOS DE DEUDA;Activo;Nivel 4;Deudora
12010101000;Valores del Banco Central de Nicaragua;Activo;Nivel 5;Deudora
12010101100;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010101200;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010101300;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010102000;Valores del Gobierno Central;Activo;Nivel 5;Deudora
12010102100;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010102200;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010102300;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010103000;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 5;Deudora
12010103100;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010103200;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010103300;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010104000;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 5;Deudora
12010104100;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010104200;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010104300;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010105000;Valores emitidos por instituciones financieras del país;Activo;Nivel 5;Deudora
12010105100;Valores emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010105200;Valores emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010105300;Valores emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010106000;Valores emitidos por instituciones financieras del exterior;Activo;Nivel 5;Deudora
12010106100;Valores emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010106200;Valores emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010106300;Valores emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010200000;INCREMENTO POR VALUACION TITULOS DE DEUDA;Activo;Nivel 4;Deudora
12010201000;Valores del Banco Central de Nicaragua;Activo;Nivel 5;Deudora
12010201100;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010201200;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010201300;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010202000;Valores del Gobierno Central;Activo;Nivel 5;Deudora
12010202100;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010202200;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010202300;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010203000;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 5;Deudora
12010203100;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010203200;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010203300;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010204000;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 5;Deudora
12010204100;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010204200;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010204300;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010205000;Valores Emitidos por instituciones financieras del país;Activo;Nivel 5;Deudora
12010205100;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010205200;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010205300;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010206000;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 5;Deudora
12010206100;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010206200;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010206300;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010300000;DEUDORES POR OPERACIONES DE REPORTO;Activo;Nivel 4;Deudora
12010301000;Valores del Banco Central de Nicaragua;Activo;Nivel 5;Deudora
12010301100;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010301200;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010301300;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010302000;Valores del Gobierno Central;Activo;Nivel 5;Deudora
12010302100;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010302200;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010302300;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010303000;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 5;Deudora
12010303100;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010303200;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010303300;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010304000;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 5;Deudora
12010304100;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010304200;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010304300;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010305000;Valores Emitidos por instituciones financieras del país;Activo;Nivel 5;Deudora
12010305100;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010305200;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010305300;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010306000;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 5;Deudora
12010306100;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010306200;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010306300;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
12010400000;TITULOS ENTREGADOS EN OPERACIONES DE REPORTO;Activo;Nivel 4;Deudora
12010401000;Valores del Banco Central de Nicaragua;Activo;Nivel 5;Deudora
12010401100;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010401200;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010401300;Valores del Banco Central de Nicaragua;Activo;Nivel 6;Deudora
12010402000;Valores del Gobierno Central;Activo;Nivel 5;Deudora
12010402100;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010402200;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010402300;Valores del Gobierno Central;Activo;Nivel 6;Deudora
12010403000;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 5;Deudora
12010403100;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010403200;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010403300;Valores de Otras Instituciones Estatales No Financieras;Activo;Nivel 6;Deudora
12010404000;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 5;Deudora
12010404100;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010404200;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010404300;Valores Emitidos por Gobiernos Extranjeros;Activo;Nivel 6;Deudora
12010405000;Valores Emitidos por instituciones financieras del país;Activo;Nivel 5;Deudora
12010405100;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010405200;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010405300;Valores Emitidos por instituciones financieras del país;Activo;Nivel 6;Deudora
12010406000;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 5;Deudora
12010406100;Valores Emitidos por instituciones financieras del exterior;Activo;Nivel 6;Deudora
